V,Tipo dato 1,Tiempo1(ms),V2,Tipo dato 2,Tiempo 2 (ms),V3,Tipo dato 3,Tiempo 3 (ms),,,,,,
Concurrente,VerificarHMAC,0.1222,Concurrente,VerificarHMAC,0.0554,Concurrente,VerificarHMAC,0.0432,,,,,,
Concurrente,VerificarHMAC,0.0701,Concurrente,VerificarHMAC,0.043,Concurrente,VerificarHMAC,0.0483,,Promedio total,Etiquetas de fila,Promedio de Tiempo1(ms),Promedio de Tiempo 2 (ms),Promedio de Tiempo 3 (ms)
Concurrente,Firmar,0.4729,Concurrente,VerificarHMAC,0.2262,Concurrente,VerificarHMAC,0.1177,,0.132,CifrarAES,0.131,0.116,0.148
Concurrente,CifrarAES,0.1369,Concurrente,VerificarHMAC,0.2011,Concurrente,Firmar,0.5964,,0.131,CifrarRSA,0.091,0.120,0.181
Concurrente,CifrarRSA,0.2038,Concurrente,VerificarHMAC,0.0542,Concurrente,Firmar,0.7584,,0.334,Firmar,0.440,0.306,0.258
Concurrente,Firmar,1.1127,Concurrente,VerificarHMAC,0.0809,Concurrente,CifrarAES,0.1326,,0.111,VerificarHMAC,0.067,0.123,0.142
Concurrente,CifrarAES,0.139,Concurrente,VerificarHMAC,0.0477,Concurrente,CifrarRSA,0.1161,,,Total general,0.159,0.158,0.174
Concurrente,CifrarRSA,0.1022,Concurrente,Firmar,0.4292,Concurrente,CifrarAES,0.8753,,,,,,
Concurrente,VerificarHMAC,0.0651,Concurrente,Firmar,0.4791,Concurrente,CifrarRSA,0.0924,,,,,,
Concurrente,VerificarHMAC,0.0558,Concurrente,Firmar,0.5253,Concurrente,Firmar,1.7285,,,,,,
Concurrente,VerificarHMAC,0.0551,Concurrente,Firmar,0.4867,Concurrente,CifrarAES,0.1641,,,,,,
Concurrente,Firmar,0.5516,Concurrente,CifrarAES,0.1815,Concurrente,CifrarRSA,0.1236,,,,,,
Concurrente,CifrarAES,0.1371,Concurrente,CifrarAES,0.1406,Concurrente,VerificarHMAC,0.0425,,,,,,
Concurrente,CifrarRSA,0.0835,Concurrente,Firmar,0.4844,Concurrente,VerificarHMAC,0.0584,,,,,,
Concurrente,VerificarHMAC,0.0637,Concurrente,CifrarAES,0.1318,Concurrente,VerificarHMAC,0.0502,,,,,,
Concurrente,VerificarHMAC,0.092,Concurrente,Firmar,0.4213,Concurrente,VerificarHMAC,0.0587,,,,,,
Concurrente,Firmar,0.5589,Concurrente,Firmar,0.7243,Concurrente,Firmar,0.5256,,,,,,
Concurrente,CifrarAES,0.1753,Concurrente,CifrarAES,0.1357,Concurrente,CifrarAES,0.12,,,,,,
Concurrente,CifrarRSA,0.114,Concurrente,CifrarRSA,0.1262,Concurrente,CifrarRSA,0.0908,,,,,,
Concurrente,VerificarHMAC,0.4677,Concurrente,CifrarAES,0.2409,Concurrente,VerificarHMAC,0.0521,,,,,,
Concurrente,VerificarHMAC,0.0432,Concurrente,CifrarRSA,0.1046,Concurrente,VerificarHMAC,0.4848,,,,,,
Concurrente,Firmar,0.3658,Concurrente,CifrarRSA,0.115,Concurrente,Firmar,0.5899,,,,,,
Concurrente,CifrarAES,0.1652,Concurrente,CifrarAES,0.1382,Concurrente,CifrarAES,0.1794,,,,,,
Concurrente,CifrarRSA,0.0872,Concurrente,CifrarRSA,0.0906,Concurrente,CifrarRSA,0.0905,,,,,,
Concurrente,VerificarHMAC,0.0596,Concurrente,CifrarRSA,0.0893,Concurrente,VerificarHMAC,0.0528,,,,,,
Concurrente,VerificarHMAC,0.047,Concurrente,CifrarAES,0.1228,Concurrente,Firmar,0.5482,,,,,,
Concurrente,Firmar,0.5625,Concurrente,CifrarRSA,0.102,Concurrente,VerificarHMAC,0.0393,,,,,,
Concurrente,CifrarAES,0.1302,Concurrente,CifrarRSA,0.0914,Concurrente,CifrarAES,0.1212,,,,,,
Concurrente,CifrarRSA,0.0795,Concurrente,VerificarHMAC,0.0477,Concurrente,CifrarRSA,0.0926,,,,,,
Concurrente,VerificarHMAC,0.0696,Concurrente,VerificarHMAC,0.0411,Concurrente,VerificarHMAC,0.0458,,,,,,
Concurrente,VerificarHMAC,0.0458,Concurrente,VerificarHMAC,0.034,Concurrente,VerificarHMAC,0.0815,,,,,,
Concurrente,Firmar,0.5596,Concurrente,VerificarHMAC,0.0362,Concurrente,Firmar,0.3985,,,,,,
Concurrente,CifrarAES,0.1466,Concurrente,VerificarHMAC,0.0391,Concurrente,CifrarAES,0.1232,,,,,,
Concurrente,CifrarRSA,0.0839,Concurrente,VerificarHMAC,0.0376,Concurrente,CifrarRSA,0.0716,,,,,,
Concurrente,VerificarHMAC,0.0836,Concurrente,VerificarHMAC,0.048,Concurrente,VerificarHMAC,0.0939,,,,,,
Concurrente,VerificarHMAC,0.039,Concurrente,VerificarHMAC,0.0831,Concurrente,VerificarHMAC,0.0443,,,,,,
Concurrente,Firmar,0.7538,Concurrente,Firmar,1.0388,Concurrente,Firmar,0.5645,,,,,,
Concurrente,CifrarAES,0.185,Concurrente,CifrarAES,0.1801,Concurrente,CifrarAES,0.1669,,,,,,
Concurrente,CifrarRSA,0.1124,Concurrente,CifrarRSA,0.1091,Concurrente,CifrarRSA,0.1406,,,,,,
Concurrente,VerificarHMAC,0.0368,Concurrente,VerificarHMAC,0.0555,Concurrente,VerificarHMAC,0.0408,,,,,,
Concurrente,VerificarHMAC,0.0385,Concurrente,VerificarHMAC,0.0476,Concurrente,VerificarHMAC,0.0351,,,,,,
Concurrente,Firmar,0.2129,Concurrente,Firmar,0.4833,Concurrente,Firmar,0.3004,,,,,,
Concurrente,CifrarAES,0.1485,Concurrente,CifrarAES,0.1317,Concurrente,CifrarAES,0.1258,,,,,,
Concurrente,CifrarRSA,0.0872,Concurrente,CifrarRSA,0.0789,Concurrente,CifrarRSA,0.0699,,,,,,
Concurrente,VerificarHMAC,0.0374,Concurrente,VerificarHMAC,0.0668,Concurrente,VerificarHMAC,0.0357,,,,,,
Concurrente,VerificarHMAC,0.1033,Concurrente,VerificarHMAC,0.1334,Concurrente,VerificarHMAC,0.0967,,,,,,
Concurrente,Firmar,0.245,Concurrente,Firmar,0.4315,Concurrente,Firmar,0.294,,,,,,
Concurrente,CifrarAES,0.1084,Concurrente,CifrarAES,0.1191,Concurrente,CifrarAES,0.1088,,,,,,
Concurrente,CifrarRSA,0.0697,Concurrente,CifrarRSA,0.0718,Concurrente,CifrarRSA,0.1245,,,,,,
Concurrente,VerificarHMAC,0.074,Concurrente,VerificarHMAC,0.0385,Concurrente,VerificarHMAC,0.0368,,,,,,
Concurrente,VerificarHMAC,0.042,Concurrente,VerificarHMAC,0.0355,Concurrente,VerificarHMAC,0.0396,,,,,,
Concurrente,Firmar,0.3483,Concurrente,Firmar,0.2184,Concurrente,VerificarHMAC,0.0217,,,,,,
Concurrente,CifrarAES,0.1233,Concurrente,CifrarAES,0.1583,Concurrente,Firmar,0.2404,,,,,,
Concurrente,CifrarRSA,0.0714,Concurrente,CifrarRSA,0.0676,Concurrente,Firmar,0.2614,,,,,,
Concurrente,VerificarHMAC,0.0299,Concurrente,VerificarHMAC,0.0361,Concurrente,CifrarAES,0.1794,,,,,,
Concurrente,VerificarHMAC,0.04,Concurrente,VerificarHMAC,0.0291,Concurrente,CifrarAES,0.1211,,,,,,
Concurrente,Firmar,0.3525,Concurrente,Firmar,0.215,Concurrente,CifrarRSA,0.0585,,,,,,
Concurrente,CifrarAES,0.1125,Concurrente,CifrarAES,0.13,Concurrente,CifrarRSA,0.047,,,,,,
Concurrente,CifrarRSA,0.1272,Concurrente,CifrarRSA,0.0499,Concurrente,VerificarHMAC,0.0297,,,,,,
Concurrente,VerificarHMAC,0.0377,Concurrente,VerificarHMAC,0.043,Concurrente,VerificarHMAC,0.0263,,,,,,
Concurrente,VerificarHMAC,0.042,Concurrente,VerificarHMAC,0.0381,Concurrente,VerificarHMAC,0.0748,,,,,,
