V,Tipo dato 1,Tiempo1(ms),V2,Tipo dato 2,Tiempo 2 (ms),V3,Tipo dato 3,Tiempo 3 (ms),,,,,,
Concurrente,VerificarHMAC,0.0567,Concurrente,VerificarHMAC,0.026,Concurrente,VerificarHMAC,0.0723,,,,,,
Concurrente,VerificarHMAC,0.0299,Concurrente,VerificarHMAC,0.03,Concurrente,VerificarHMAC,0.0355,,Promedio total,Etiquetas de fila,Promedio de Tiempo1(ms),Promedio de Tiempo 2 (ms),Promedio de Tiempo 3 (ms)
Concurrente,VerificarHMAC,0.0421,Concurrente,VerificarHMAC,0.0857,Concurrente,VerificarHMAC,0.034,,0.134,CifrarAES,0.114,0.141,0.147
Concurrente,VerificarHMAC,0.0311,Concurrente,VerificarHMAC,0.0376,Concurrente,VerificarHMAC,0.0332,,0.076,CifrarRSA,0.068,0.075,0.086
Concurrente,VerificarHMAC,0.2132,Concurrente,VerificarHMAC,0.0351,Concurrente,VerificarHMAC,0.0609,,0.281,Firmar,0.322,0.262,0.259
Concurrente,VerificarHMAC,0.0479,Concurrente,VerificarHMAC,0.0328,Concurrente,VerificarHMAC,0.0502,,0.052,VerificarHMAC,0.044,0.062,0.050
Concurrente,VerificarHMAC,0.0375,Concurrente,VerificarHMAC,0.0332,Concurrente,VerificarHMAC,0.127,,,Total general,0.118,0.120,0.118
Concurrente,VerificarHMAC,0.0552,Concurrente,VerificarHMAC,0.0351,Concurrente,VerificarHMAC,0.058,,,,,,
Concurrente,VerificarHMAC,0.0373,Concurrente,VerificarHMAC,0.032,Concurrente,VerificarHMAC,0.0458,,,,,,
Concurrente,VerificarHMAC,0.0345,Concurrente,VerificarHMAC,0.0644,Concurrente,VerificarHMAC,0.0308,,,,,,
Concurrente,VerificarHMAC,0.1177,Concurrente,VerificarHMAC,0.0407,Concurrente,VerificarHMAC,0.0755,,,,,,
Concurrente,VerificarHMAC,0.071,Concurrente,VerificarHMAC,0.207,Concurrente,VerificarHMAC,0.0331,,,,,,
Concurrente,VerificarHMAC,0.0409,Concurrente,VerificarHMAC,0.0382,Concurrente,VerificarHMAC,0.068,,,,,,
Concurrente,VerificarHMAC,0.0324,Concurrente,Firmar,0.3582,Concurrente,VerificarHMAC,0.0409,,,,,,
Concurrente,VerificarHMAC,0.0346,Concurrente,VerificarHMAC,0.0415,Concurrente,VerificarHMAC,0.0405,,,,,,
Concurrente,VerificarHMAC,0.0363,Concurrente,VerificarHMAC,0.0322,Concurrente,VerificarHMAC,0.0334,,,,,,
Concurrente,VerificarHMAC,0.0429,Concurrente,VerificarHMAC,0.0296,Concurrente,VerificarHMAC,0.041,,,,,,
Concurrente,VerificarHMAC,0.0281,Concurrente,VerificarHMAC,0.0306,Concurrente,VerificarHMAC,0.0343,,,,,,
Concurrente,VerificarHMAC,0.0337,Concurrente,VerificarHMAC,0.0314,Concurrente,VerificarHMAC,0.0346,,,,,,
Concurrente,VerificarHMAC,0.0338,Concurrente,VerificarHMAC,0.0714,Concurrente,VerificarHMAC,0.0321,,,,,,
Concurrente,VerificarHMAC,0.0289,Concurrente,VerificarHMAC,0.034,Concurrente,VerificarHMAC,0.0227,,,,,,
Concurrente,VerificarHMAC,0.0304,Concurrente,VerificarHMAC,0.0403,Concurrente,VerificarHMAC,0.0325,,,,,,
Concurrente,VerificarHMAC,0.0323,Concurrente,Firmar,0.2939,Concurrente,Firmar,0.3665,,,,,,
Concurrente,Firmar,0.3682,Concurrente,Firmar,0.3158,Concurrente,VerificarHMAC,0.0292,,,,,,
Concurrente,Firmar,0.3206,Concurrente,Firmar,0.3224,Concurrente,Firmar,0.2959,,,,,,
Concurrente,Firmar,0.2913,Concurrente,Firmar,0.3083,Concurrente,CifrarAES,0.1005,,,,,,
Concurrente,Firmar,0.3093,Concurrente,Firmar,0.2951,Concurrente,Firmar,0.293,,,,,,
Concurrente,Firmar,0.341,Concurrente,Firmar,0.3266,Concurrente,Firmar,0.3645,,,,,,
Concurrente,Firmar,0.3311,Concurrente,Firmar,0.3192,Concurrente,Firmar,0.3177,,,,,,
Concurrente,Firmar,0.3071,Concurrente,Firmar,0.3638,Concurrente,Firmar,0.3024,,,,,,
Concurrente,Firmar,0.3443,Concurrente,Firmar,0.3697,Concurrente,Firmar,0.5894,,,,,,
Concurrente,Firmar,0.362,Concurrente,Firmar,0.3982,Concurrente,Firmar,0.3082,,,,,,
